Latitude,Longitude
-3.8475613096169505,-38.56226829199036
-3.847561304979042,-38.562259285342286
-3.8475613003410376,-38.56225027869423
-3.847561295702938,-38.56224127204619
-3.847561291064743,-38.56223226539815
-3.8475612864264543,-38.56222325875012
-3.8475612817880678,-38.562214252102116
-3.8475612771495875,-38.562205245454116
-3.847561272511011,-38.56219623880612
-3.847561267872338,-38.56218723215814
-3.847561263233571,-38.56217822551017
-3.8475612585947094,-38.562169218862216
-3.847561253955751,-38.562160212214266
-3.8475612493166964,-38.56215120556633
-3.8475612446775482,-38.56214219891841
-3.847561240038303,-38.56213319227049
-3.8475612353989637,-38.56212418562259
-3.847561230759528,-38.56211517897469
-3.8475612261199985,-38.56210617232681
-3.847561221480372,-38.56209716567894
-3.8475612168406506,-38.562088159031084
-3.847570356255798,-38.562268287372994
-3.847570351617878,-38.56225928072483
-3.8475703469798628,-38.562250274076675
-3.847570342341753,-38.56224126742854
-3.8475703377035475,-38.562232260780405
-3.847570333065246,-38.56222325413229
-3.84757032842685,-38.562214247484185
-3.8475703237883576,-38.56220524083608
-3.8475703191497708,-38.562196234187994
-3.8475703145110876,-38.56218722753992
-3.8475703098723097,-38.56217822089186
-3.847570305233435,-38.5621692142438
-3.8475703005944673,-38.56216020759576
-3.847570295955402,-38.56215120094773
-3.847570291316242,-38.56214219429971
-3.847570286676987,-38.5621331876517
-3.847570282037635,-38.5621241810037
-3.8475702773981895,-38.56211517435572
-3.8475702727586487,-38.56210616770774
-3.847570268119011,-38.562097161059775
-3.84757026347928,-38.56208815441182
-3.8475794028946426,-38.56226828275562
-3.8475793982567117,-38.562259276107355
-3.8475793936186853,-38.56225026945911
-3.8475793889805643,-38.56224126281087
-3.847579384342348,-38.56223225616265
-3.8475793797040363,-38.56222324951444
-3.847579375065629,-38.56221424286623
-3.8475793704271246,-38.56220523621804
-3.8475793657885267,-38.562196229569864
-3.847579361149834,-38.562187222921686
-3.8475793565110443,-38.56217821627353
-3.84757935187216,-38.56216920962539
-3.847579347233179,-38.562160202977246
-3.8475793425941043,-38.56215119632912
-3.8475793379549335,-38.562142189681005
-3.8475793333156676,-38.5621331830329
-3.8475793286763063,-38.562124176384806
-3.8475793240368485,-38.56211516973672
-3.8475793193972954,-38.56210616308865
-3.847579314757648,-38.56209715644059
-3.847579310117904,-38.562088149792544
-3.8475884495334856,-38.562268278138234
-3.847588444895543,-38.56225927148988
-3.8475884402575065,-38.56225026484154
-3.8475884356193744,-38.562241258193204
-3.847588430981147,-38.562232251544884
-3.8475884263428237,-38.56222324489658
-3.8475884217044056,-38.56221423824828
-3.8475884170658925,-38.5622052316
-3.8475884124272826,-38.56219622495171
-3.847588407788578,-38.56218721830345
-3.847588403149779,-38.562178211655194
-3.8475883985108825,-38.56216920500695
-3.8475883938718916,-38.56216019835872
-3.8475883892328038,-38.5621511917105
-3.847588384593622,-38.562142185062285
-3.8475883799543458,-38.56213317841409
-3.8475883753149738,-38.5621241717659
-3.847588370675505,-38.562115165117724
-3.8475883660359425,-38.56210615846956
-3.8475883613962836,-38.562097151821405
-3.8475883567565288,-38.562088145173256
-3.8475974961723263,-38.56226827352083
-3.847597491534374,-38.56225926687239
-3.8475974868963267,-38.56225026022395
-3.8475974822581827,-38.56224125357552
-3.847597477619944,-38.56223224692711
-3.8475974729816103,-38.562223240278705
-3.8475974683431815,-38.56221423363031
-3.8475974637046564,-38.56220522698193
-3.847597459066037,-38.562196220333554
-3.847597454427321,-38.5621872136852
-3.84759744978851,-38.56217820703685
-3.8475974451496033,-38.56216920038851
-3.847597440510602,-38.56216019374018
-3.8475974358715046,-38.562151187091864
-3.847597431232311,-38.562142180443566
-3.847597426593023,-38.56213317379527
-3.84759742195364,-38.56212416714698
-3.84759741731416,-38.56211516049871
-3.8475974126745864,-38.56210615385044
-3.8475974080349165,-38.5620971472022
-3.847597403395152,-38.56208814055396
